date,open,high,low,close,volume,barCount,WAP
2024-02-16,11.26,11.26,10.7,10.82,4248273.0,16328,
2024-02-20,10.87,11.01,10.35,10.62,3696658.0,14791,
2024-02-21,10.42,10.71,10.35,10.63,3030147.0,13712,
2024-02-22,10.91,11.17,10.76,10.99,4472842.0,18896,
2024-02-23,11.11,11.12,10.53,10.65,3538618.0,15538,
2024-02-26,10.82,11.3,10.77,11.24,5255577.0,18925,
2024-02-27,11.43,11.68,11.24,11.57,5616444.0,21191,
2024-02-28,11.3,11.63,11.16,11.26,6393439.0,24580,
2024-02-29,11.71,11.72,10.2,10.36,13547478.0,46340,
2024-03-01,10.31,10.86,10.17,10.66,8391464.0,28280,
2024-03-04,10.49,10.66,9.85,10.09,8770746.0,32055,
2024-03-05,9.93,10.0,9.15,9.37,8797424.0,29508,
2024-03-06,9.89,10.16,9.31,9.92,7577882.0,27040,
2024-03-07,10.4,11.32,10.17,10.9,10755148.0,38617,
2024-03-08,11.16,12.32,10.8,10.81,14692042.0,57729,
2024-03-11,10.77,10.77,9.7,9.79,9747195.0,32041,
2024-03-12,10.01,10.25,9.61,9.87,6708366.0,22707,
2024-03-13,9.77,10.07,9.6,9.63,5992884.0,21504,
2024-03-14,9.68,9.7,9.11,9.2,6034593.0,21832,
2024-03-15,9.16,9.38,9.07,9.31,4802395.0,15630,
2024-03-18,9.39,9.68,9.07,9.54,4422361.0,15583,
2024-03-19,9.21,9.48,9.06,9.24,4725493.0,16561,
2024-03-20,9.17,9.59,9.09,9.58,4192282.0,14413,
2024-03-21,9.74,9.79,9.33,9.42,3850472.0,13761,
2024-03-22,9.38,9.55,9.26,9.39,2416469.0,9067,
2024-03-25,9.35,9.7,9.33,9.55,3193881.0,12222,
2024-03-26,9.62,9.69,9.1,9.11,3735499.0,12866,
2024-03-27,9.25,9.56,9.14,9.55,3283425.0,12672,
2024-03-28,9.49,10.01,9.41,9.99,4555244.0,14596,
2024-04-01,10.0,10.09,9.66,9.99,3520226.0,11508,
2024-04-02,9.63,9.73,9.26,9.36,4111070.0,13675,
2024-04-03,9.32,9.54,9.28,9.32,2556957.0,8981,
2024-04-04,9.47,9.72,9.09,9.12,3973565.0,12391,
2024-04-05,9.22,9.37,9.02,9.21,3281179.0,12436,
2024-04-08,9.27,9.36,8.32,8.37,10226350.0,31300,
2024-04-09,8.28,8.61,8.17,8.4,3833760.0,13889,
2024-04-10,8.0,8.25,7.94,8.0,4586874.0,15583,
2024-04-11,8.02,8.38,7.96,8.24,2856128.0,10119,
2024-04-12,8.08,8.23,7.93,8.03,2880075.0,10529,
2024-04-15,8.01,8.03,7.45,7.53,5269748.0,18538,
2024-04-16,7.32,7.72,7.26,7.52,4099697.0,15949,
2024-04-17,7.55,7.79,7.26,7.28,3036579.0,11065,
2024-04-18,7.28,7.59,7.14,7.37,2955600.0,12075,
2024-04-19,7.21,7.34,6.98,7.09,3774631.0,13175,
2024-04-22,7.18,7.62,7.12,7.49,4930427.0,16164,
2024-04-23,7.55,8.21,7.53,7.97,5520898.0,19820,
2024-04-24,8.16,8.37,8.01,8.2,4610468.0,16552,
2024-04-25,7.89,8.23,7.84,8.18,2495931.0,10411,
2024-04-26,8.22,8.97,8.15,8.97,5450535.0,18943,
2024-04-29,8.96,9.15,8.82,8.92,4782416.0,17398,
2024-04-30,8.73,8.8,8.52,8.55,2278758.0,7499,
2024-05-01,8.49,9.22,8.45,8.75,2870263.0,12108,
2024-05-02,9.09,9.14,8.66,9.0,2482863.0,9129,
2024-05-03,9.25,9.31,8.91,8.94,2952717.0,10716,
